NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003,,,,,,,,,,,,
Autauga County,AL,50.00,3.00,6.00,1.00,1.00,1539582278.00,25775735.00,54571.00,22135.00,+32.5363818,-86.64,54571.00,53702.00,42855.00,9643.00,232.00,474.00,32.00,466.00,869.00,814.00,219.00,262.00,177.00,11.00,50.00,32.00,19.00,9.00,16.00,0.00,0.00,5.00,5.00,8.00,1.00,49.00,6.00,0.00,0.00,54571.00,1310.00,53261.00,52500.00,42154.00,9595.00,217.00,467.00,22.00,45.00,761.00,719.00,36.00,6.00,0.00,0.00,39958.00,39530.00,31910.00,6767.00,180.00,346.00,23.00,304.00,428.00,404.00,22.00,2.00,0.00,0.00,39958.00,828.00,39130.00,38746.00,31461.00,6738.00,169.00,341.00,15.00,22.00,384.00,363.00,19.00,2.00,0.00,0.00,22135.00,20221.00,1914.00,,,,,,,,,,,,
Baldwin County,AL,50.00,3.00,6.00,1.00,3.00,4117521611.00,1133190229.00,182265.00,104061.00,+30.6592183,-87.75,182265.00,179542.00,156153.00,17105.00,1216.00,1348.00,89.00,3631.00,2723.00,2583.00,658.00,1035.00,336.00,35.00,311.00,63.00,34.00,7.00,38.00,12.00,0.00,15.00,11.00,14.00,14.00,128.00,11.00,1.00,0.00,182265.00,7992.00,174273.00,171976.00,152200.00,16966.00,1146.00,1340.00,79.00,245.00,2297.00,2205.00,87.00,5.00,0.00,0.00,140367.00,138905.00,122238.00,12272.00,923.00,1002.00,70.00,2400.00,1462.00,1398.00,60.00,3.00,1.00,0.00,140367.00,5186.00,135181.00,133937.00,119671.00,12193.00,876.00,994.00,62.00,141.00,1244.00,1198.00,46.00,0.00,0.00,0.00,104061.00,73180.00,30881.00,,,,,,,,,,,,
Barbour County,AL,50.00,3.00,6.00,1.00,5.00,2291818968.00,50864716.00,27457.00,11829.00,+31.8706701,-85.41,27457.00,27199.00,13180.00,12875.00,114.00,107.00,29.00,894.00,258.00,254.00,76.00,49.00,7.00,2.00,34.00,54.00,2.00,4.00,7.00,0.00,1.00,2.00,1.00,5.00,10.00,3.00,0.00,0.00,1.00,27457.00,1387.00,26070.00,25861.00,12837.00,12820.00,60.00,107.00,24.00,13.00,209.00,206.00,2.00,0.00,0.00,1.00,21442.00,21275.00,10855.00,9647.00,86.00,80.00,24.00,583.00,167.00,163.00,3.00,0.00,0.00,1.00,21442.00,925.00,20517.00,20382.00,10624.00,9605.00,47.00,80.00,21.00,5.00,135.00,132.00,2.00,0.00,0.00,1.00,11829.00,9820.00,2009.00,,,,,,,,,,,,
Bibb County,AL,50.00,3.00,6.00,1.00,7.00,1612480789.00,9289057.00,22915.00,8981.00,+33.0158929,-87.13,22915.00,22712.00,17381.00,5047.00,64.00,22.00,13.00,185.00,203.00,195.00,50.00,77.00,16.00,3.00,16.00,9.00,13.00,5.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,22915.00,406.00,22509.00,22328.00,17191.00,5024.00,64.00,22.00,7.00,20.00,181.00,175.00,6.00,0.00,0.00,0.00,17714.00,17584.00,13403.00,3975.00,47.00,14.00,11.00,134.00,130.00,128.00,2.00,0.00,0.00,0.00,17714.00,310.00,17404.00,17284.00,13247.00,3963.00,47.00,14.00,5.00,8.00,120.00,119.00,1.00,0.00,0.00,0.00,8981.00,7953.00,1028.00,,,,,,,,,,,,
Blount County,AL,50.00,3.00,6.00,1.00,9.00,1669961855.00,15157440.00,57322.00,23887.00,+33.9774479,-86.57,57322.00,56638.00,53068.00,761.00,307.00,117.00,38.00,2347.00,684.00,662.00,112.00,330.00,74.00,8.00,102.00,12.00,2.00,0.00,6.00,3.00,0.00,2.00,4.00,7.00,0.00,21.00,1.00,0.00,0.00,57322.00,4626.00,52696.00,52129.00,50952.00,724.00,285.00,115.00,18.00,35.00,567.00,547.00,19.00,1.00,0.00,0.00,43216.00,42810.00,40515.00,549.00,227.00,91.00,23.00,1405.00,406.00,394.00,12.00,0.00,0.00,0.00,43216.00,2724.00,40492.00,40141.00,39285.00,524.00,212.00,89.00,14.00,17.00,351.00,341.00,10.00,0.00,0.00,0.00,23887.00,21578.00,2309.00,,,,,,,,,,,,
Bullock County,AL,50.00,3.00,6.00,1.00,11.00,1613056905.00,6056528.00,10914.00,4493.00,+32.1017589,-85.72,10914.00,10828.00,2507.00,7666.00,23.00,20.00,43.00,569.00,86.00,82.00,12.00,28.00,3.00,0.00,3.00,8.00,5.00,2.00,9.00,0.00,0.00,3.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,10914.00,777.00,10137.00,10078.00,2392.00,7637.00,20.00,20.00,4.00,5.00,59.00,56.00,3.00,0.00,0.00,0.00,8484.00,8432.00,2164.00,5838.00,21.00,17.00,31.00,361.00,52.00,49.00,3.00,0.00,0.00,0.00,8484.00,485.00,7999.00,7963.00,2102.00,5821.00,18.00,17.00,3.00,2.00,36.00,33.00,3.00,0.00,0.00,0.00,4493.00,3745.00,748.00,,,,,,,,,,,,
Butler County,AL,50.00,3.00,6.00,1.00,13.00,2011976894.00,2726814.00,20947.00,9964.00,+31.7516670,-86.68,20947.00,20786.00,11399.00,9095.00,60.00,177.00,7.00,48.00,161.00,153.00,58.00,41.00,17.00,1.00,13.00,10.00,4.00,3.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,20947.00,191.00,20756.00,20614.00,11324.00,9047.00,59.00,174.00,7.00,3.00,142.00,139.00,3.00,0.00,0.00,0.00,15891.00,15811.00,9109.00,6504.00,44.00,119.00,3.00,32.00,80.00,76.00,4.00,0.00,0.00,0.00,15891.00,130.00,15761.00,15694.00,9062.00,6468.00,43.00,117.00,3.00,1.00,67.00,65.00,2.00,0.00,0.00,0.00,9964.00,8491.00,1473.00,,,,,,,,,,,,
Calhoun County,AL,50.00,3.00,6.00,1.00,15.00,1569189995.00,16624267.00,118572.00,53289.00,+33.7717061,-85.82,118572.00,116597.00,88840.00,24382.00,540.00,845.00,96.00,1894.00,1975.00,1848.00,676.00,520.00,223.00,49.00,143.00,67.00,48.00,20.00,46.00,8.00,2.00,4.00,17.00,17.00,8.00,109.00,17.00,0.00,1.00,118572.00,3893.00,114679.00,112975.00,87285.00,24177.00,480.00,830.00,94.00,109.00,1704.00,1602.00,93.00,8.00,0.00,1.00,91446.00,90441.00,70313.00,17746.00,451.00,665.00,70.00,1196.00,1005.00,939.00,62.00,3.00,0.00,1.00,91446.00,2473.00,88973.00,88088.00,69294.00,17621.00,409.00,653.00,69.00,42.00,885.00,826.00,56.00,2.00,0.00,1.00,53289.00,47331.00,5958.00,,,,,,,,,,,,
Chambers County,AL,50.00,3.00,6.00,1.00,17.00,1545009282.00,17048142.00,34215.00,17004.00,+32.9179433,-85.39,34215.00,33830.00,20112.00,13257.00,69.00,168.00,10.00,214.00,385.00,373.00,162.00,101.00,27.00,1.00,37.00,11.00,10.00,0.00,22.00,0.00,0.00,0.00,0.00,1.00,1.00,11.00,1.00,0.00,0.00,34215.00,536.00,33679.00,33352.00,19893.00,13206.00,57.00,166.00,7.00,23.00,327.00,317.00,10.00,0.00,0.00,0.00,26512.00,26332.00,16182.00,9798.00,58.00,138.00,6.00,150.00,180.00,173.00,6.00,1.00,0.00,0.00,26512.00,364.00,26148.00,25995.00,16037.00,9761.00,48.00,136.00,3.00,10.00,153.00,148.00,5.00,0.00,0.00,0.00,17004.00,13933.00,3071.00,,,,,,,,,,,,
Cherokee County,AL,50.00,3.00,6.00,1.00,19.00,1434075952.00,119858898.00,25989.00,16267.00,+34.0695153,-85.65,25989.00,25602.00,24081.00,1208.00,135.00,54.00,1.00,123.00,387.00,376.00,94.00,206.00,19.00,12.00,35.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11.00,0.00,0.00,0.00,25989.00,320.00,25669.00,25322.00,23929.00,1206.00,122.00,49.00,1.00,15.00,347.00,337.00,10.00,0.00,0.00,0.00,20423.00,20216.00,19090.00,909.00,105.00,35.00,1.00,76.00,207.00,202.00,5.00,0.00,0.00,0.00,20423.00,171.00,20252.00,20051.00,19005.00,909.00,99.00,32.00,1.00,5.00,201.00,196.00,5.00,0.00,0.00,0.00,16267.00,10626.00,5641.00,,,,,,,,,,,,
